Dataset,Model,resolution,n,mean,std,sem,ci_lower,ci_upper
chestmnist,ViT,96,6188,0.7891042699776084,0.05078344958072411,0.0006455755077088306,0.7878387176536348,0.790369822301582
chestmnist,ViT,80,6188,0.7121559624941255,0.06221908282556729,0.0007909489472637092,0.7106054277132962,0.7137064972749548
chestmnist,ViT,64,6188,0.6080562113251468,0.07182713810450919,0.0009130896292380152,0.6062662383653925,0.609846184284901
chestmnist,ViT,56,6188,0.552327651622011,0.07493730889352447,0.0009526271183758511,0.5504601714447974,0.5541951317992246
chestmnist,ViT,48,6188,0.47449761077655694,0.07447332366500979,0.0009467287892560139,0.47264169337400874,0.47635352817910515
chestmnist,ViT,40,6188,0.389684227785865,0.07045678553361619,0.0008956692676044852,0.3879284047882554,0.39144005078347455
chestmnist,ViT,32,6188,0.2894655679952794,0.06303366006963668,0.0008013041145918412,0.2878947334882046,0.2910364025023542
chestmnist,ViT,30,6188,0.2705919274243959,0.061251954309105086,0.0007786544992065263,0.2690654940339151,0.2721183608148767
chestmnist,ViT,28,6188,0.26259895958865465,0.06150795805294991,0.0007819089009510411,0.26106614643989345,0.26413177273741584
chestmnist,ViT,26,6188,0.22804316262950555,0.05682572068871218,0.0007223867970257029,0.22662703348757396,0.22945929177143715
chestmnist,ViT,24,6188,0.20891249099636178,0.05488962469448139,0.0006977745234450796,0.20754461046308445,0.2102803715296391
chestmnist,ViT,16,6188,0.1662769528195706,0.04691505874475019,0.000596399282017814,0.1651078029860328,0.16744610265310841
chestmnist,ViT,12,6188,0.15808771018587675,0.04565257144507137,0.0005803501383264122,0.15695002225083712,0.15922539812091638
chestmnist,ViT,8,6188,0.14392165649347707,0.04217866230132203,0.0005361886904979137,0.14287054034169444,0.1449727726452597
stl10,ResNet18,96,8000,0.9999999979510903,9.119191101452858e-08,1.0195565601329886e-09,0.9999999959524938,0.9999999999496868
stl10,ResNet18,80,8000,0.9730255319029093,0.01006010665797905,0.00011247541174069691,0.9728050507848466,0.973246013020972
stl10,ResNet18,64,8000,0.9397771006673574,0.020507118436879183,0.0002292765542375054,0.939327658871666,0.9402265424630488
stl10,ResNet18,56,8000,0.9120897406041623,0.027817751307944186,0.0003110119145287344,0.9114800762020953,0.9126994050062293
stl10,ResNet18,48,8000,0.8721466490626335,0.03767520980075102,0.00042122165090522794,0.8713209448566517,0.8729723532686153
stl10,ResNet18,40,8000,0.829305178180337,0.046288609904572946,0.0005175223916529758,0.828290699426552,0.830319656934122
stl10,ResNet18,32,8000,0.7683292935118079,0.055885123466890875,0.0006248146750146836,0.7671044939223043,0.7695540931013115
stl10,ResNet18,30,8000,0.7415580414235592,0.058945427271016565,0.0006590299117038148,0.7402661710536668,0.7428499117934516
stl10,ResNet18,28,8000,0.7226883401572705,0.060814532577755875,0.0006799271443186883,0.7213555057656417,0.7240211745488992
stl10,ResNet18,26,8000,0.6934425859376788,0.06351172353523608,0.0007100826559648057,0.6920506388847084,0.6948345329906492
stl10,ResNet18,24,8000,0.6647346274107695,0.06513745354810883,0.000728258870074031,0.6633070502414303,0.6661622045801087
stl10,ResNet18,16,8000,0.5443560563661158,0.06641155653204045,0.0007425037744860631,0.5429005554719122,0.5458115572603195
stl10,ResNet18,12,8000,0.486470964320004,0.06338727013431313,0.0007086912246423319,0.48508174483503214,0.4878601838049758
