Dataset,Model,Resolution,N,Top1_Acc,Top1_CI_Lower,Top1_CI_Upper,Top5_Acc,Top5_CI_Lower,Top5_CI_Upper,Mean_Rank,Median_Rank
chestmnist,ViT,28,6188,0.007110536522301228,0.005301248150629034,0.009531408568941812,0.023755656108597284,0.02024647288532605,0.027855769525354367,1416.3859082094377,850.5
chestmnist,ViT,26,6188,0.005009696186166775,0.0035316344653456375,0.007101948332046332,0.018584356819650937,0.015505932800531929,0.022260127647862022,1589.3742727860374,1038.5
chestmnist,ViT,24,6188,0.004201680672268907,0.0028690293443306876,0.0061495250214540186,0.013574660633484163,0.010978415715890798,0.016774468456538134,1755.0224628312862,1247.0
chestmnist,ViT,16,6188,0.0014544279250161603,0.0007653845960102726,0.0027620731023097487,0.005009696186166775,0.0035316344653456375,0.007101948332046332,2414.6304137039433,2148.5
chestmnist,ViT,12,6188,0.0011312217194570137,0.000548078460632116,0.0023333678650450003,0.002585649644473174,0.0015922351068418754,0.0041962623957283104,2690.9198448610214,2520.0
chestmnist,ViT,8,6188,0.0004848093083387201,0.00016489230461782926,0.0014245312757734784,0.001777634130575307,0.0009929162720075878,0.003180552798955337,2864.60407239819,2783.0
stl10,ResNet18,96,8000,1.0,0.99952004811184,1.0,1.0,0.99952004811184,1.0,0.0,0.0
stl10,ResNet18,80,8000,0.999125,0.9981948084301102,0.9995760795975341,1.0,0.99952004811184,1.0,0.000875,0.0
stl10,ResNet18,64,8000,0.996625,0.9950939009554263,0.9976793868316587,1.0,0.99952004811184,1.0,0.003625,0.0
stl10,ResNet18,56,8000,0.992,0.9897979901882448,0.9937297371538056,0.9995,0.9987149849377058,0.9998055431260223,0.01975,0.0
stl10,ResNet18,48,8000,0.959875,0.9553491623996424,0.9639594018512225,0.993875,0.9919123085817702,0.9953636189406997,0.31325,0.0
stl10,ResNet18,40,8000,0.837625,0.8293818543994321,0.8455440580880876,0.945625,0.940438789722564,0.9503834531571135,2.345125,0.0
stl10,ResNet18,32,8000,0.515625,0.5046689459373086,0.5265660555661864,0.732375,0.7225637855578879,0.7419631568020897,22.81425,0.0
stl10,ResNet18,30,8000,0.384625,0.3740219406380197,0.39533880826017315,0.60775,0.5970016326682562,0.6183949376998453,42.957375,2.0
stl10,ResNet18,28,8000,0.296625,0.28671531176528686,0.3067299086652222,0.517,0.506044268826059,0.5279394128097435,68.487125,4.0
stl10,ResNet18,26,8000,0.190875,0.18241252229788862,0.19963420795696624,0.375,0.36445375416854203,0.3856662338034979,124.56625,12.0
stl10,ResNet18,24,8000,0.1155,0.1086798416164884,0.12268924138550662,0.256875,0.24741924114549352,0.26656413546012425,208.313875,30.0
stl10,ResNet18,16,8000,0.0085,0.00671091200375446,0.010760880702306798,0.031875,0.0282446407999411,0.03595471415534868,938.3615,402.0
stl10,ResNet18,12,8000,0.001375,0.000767971759981173,0.002460660260486367,0.00675,0.005177357508553511,0.00879611502911631,1619.055875,975.0
stl10,ResNet18,8,8000,0.0005,0.00019445687397768696,0.0012850150622941334,0.003125,0.0021176697419186073,0.004609282446940373,2256.130375,1666.0
stl10,VGG16,96,8000,1.0,0.99952004811184,1.0,1.0,0.99952004811184,1.0,0.0,0.0
stl10,VGG16,80,8000,0.996625,0.9950939009554263,0.9976793868316587,1.0,0.99952004811184,1.0,0.00375,0.0
stl10,VGG16,64,8000,0.972625,0.9688161986636639,0.9759801268140527,0.996625,0.9950939009554263,0.9976793868316587,0.06925,0.0
stl10,VGG16,56,8000,0.901375,0.8946475352211775,0.907717183400602,0.972125,0.9682849452159836,0.9755118602136212,0.73375,0.0
stl10,VGG16,48,8000,0.73675,0.726987573009509,0.7462851697714472,0.894375,0.8874495409212219,0.900921897026992,4.3935,0.0
stl10,VGG16,40,8000,0.50325,0.4922947693113322,0.5142021110013948,0.71975,0.7098047038889468,0.7294843572562069,18.759625,0.0
stl10,VGG16,32,8000,0.2395,0.23027441525220518,0.2489756396815261,0.436375,0.4255406397093598,0.44727043416840845,91.505375,8.0
stl10,VGG16,30,8000,0.162125,0.15421107595096187,0.1703632515374622,0.333125,0.3228789581814298,0.34353122576124356,156.545625,18.0
stl10,VGG16,28,8000,0.128875,0.12171049872617405,0.13639574556281267,0.279,0.26927968180210715,0.2889324569324595,206.79025,29.0
stl10,VGG16,26,8000,0.082875,0.07703205044712551,0.08911834941557194,0.1905,0.18204416678583993,0.19925292343293108,324.083875,63.0
stl10,VGG16,24,8000,0.0535,0.04877976636399682,0.05864883067213003,0.128875,0.12171049872617405,0.13639574556281267,470.0955,115.0
stl10,VGG16,16,8000,0.009375,0.0074861377185653066,0.01173481507169167,0.026625,0.023318063072628632,0.03038633137748683,1391.406375,746.0
stl10,VGG16,12,8000,0.003625,0.0025252244687040746,0.005201247768266746,0.01175,0.0096119779934957,0.014356695025292517,2000.47875,1363.0
stl10,VGG16,8,8000,0.001875,0.001136640711818256,0.003091511356761124,0.005375,0.003993065400810048,0.007231727004552212,2710.35075,2181.0
stl10,ViT,96,8000,1.0,0.99952004811184,1.0,1.0,0.99952004811184,1.0,0.0,0.0
stl10,ViT,80,8000,0.9985,0.9973797834955337,0.9991417044719709,0.999875,0.999292234009974,0.9999779340898377,0.002875,0.0
stl10,ViT,64,8000,0.995125,0.9933430743240397,0.9964316533187099,0.9995,0.9987149849377058,0.9998055431260223,0.010625,0.0
stl10,ViT,56,8000,0.989125,0.9866059875110078,0.9911744995543996,0.99825,0.997064485616286,0.9989572423271624,0.053625,0.0
stl10,ViT,48,8000,0.9645,0.9602171197548423,0.968337004941057,0.99275,0.9906399097770939,0.9943870976371243,0.246125,0.0
stl10,ViT,40,8000,0.908375,0.9018556505116188,0.9145023487837266,0.96975,0.965765528144439,0.9732835570566346,1.2445,0.0
stl10,ViT,32,8000,0.735375,0.7255971085659925,0.7449269540826562,0.874125,0.8666762164980003,0.881214659501684,6.76775,0.0
stl10,ViT,30,8000,0.66525,0.6548320252585145,0.6755093506424485,0.8285,0.8200827872761957,0.8366018843332833,10.446625,0.0
stl10,ViT,28,8000,0.602875,0.5921059723611056,0.6135452775379054,0.779875,0.7706626022627219,0.7888187446678805,15.766375,0.0
stl10,ViT,26,8000,0.490875,0.4799273008666579,0.501831458255301,0.692625,0.6824237314910457,0.7026413670440408,25.89725,1.0
stl10,ViT,24,8000,0.38775,0.37712944483834615,0.3984783043605456,0.59925,0.5884663298886378,0.6099383996615623,42.97325,2.0
stl10,ViT,16,8000,0.0875,0.0815044064914641,0.09389155381626785,0.196125,0.18757081790517718,0.20497087285485202,294.01875,58.0
stl10,ViT,12,8000,0.025,0.02180003303219191,0.028655921261560077,0.06925,0.06389097157436781,0.07502250697728201,710.26725,255.0
stl10,ViT,8,8000,0.003625,0.0025252244687040746,0.005201247768266746,0.014625,0.012217708940638498,0.017498204354792803,1465.597125,815.5
