TABLE: Table1_Collinearity - Sheet1
Dataset,Model,Pearson r,VIF
chestmnist,ResNet18,0.849,3.58
chestmnist,VGG16,0.952,10.63
chestmnist,ViT,0.927,7.11
stl10,ResNet18,0.899,5.19
stl10,VGG16,0.893,4.92
stl10,ViT,0.867,4.02

TABLE: TableS10_Paired_Diff_Normality - Sheet1
Dataset,Resolution,Comparison,N,Skewness,Kurtosis,Pass
chestmnist,128,VGG16 vs ViT,-0.0617,-0.0631,-0.0602,0,-1.0713,True
chestmnist,160,ResNet18 vs VGG16,0.1007,0.0999,0.1015,0,3.1579,True
chestmnist,160,ResNet18 vs ViT,0.0606,0.06,0.0613,0,2.3754,True
chestmnist,160,VGG16 vs ViT,-0.0401,-0.0411,-0.039,0,-0.983,True
chestmnist,192,ResNet18 vs VGG16,0.0716,0.071,0.0722,0,3.0785,True
chestmnist,192,ResNet18 vs ViT,0.0387,0.0383,0.0392,0,2.1314,True
chestmnist,192,VGG16 vs ViT,-0.0329,-0.0336,-0.0321,0,-1.1262,True
stl10,8,ResNet18 vs VGG16,0.1814,0.1798,0.183,0,2.5384,True
stl10,8,ResNet18 vs ViT,0.3532,0.3516,0.3548,0,4.9035,True
stl10,8,VGG16 vs ViT,0.1718,0.1699,0.1737,0,1.9667,True
stl10,12,ResNet18 vs VGG16,0.1755,0.1739,0.1772,0,2.3277,True
stl10,12,ResNet18 vs ViT,0.322,0.3199,0.3241,0,3.3073,True
stl10,12,VGG16 vs ViT,0.1465,0.1441,0.1489,0,1.3462,True
stl10,16,ResNet18 vs VGG16,0.1857,0.1839,0.1874,0,2.3121,True
stl10,16,ResNet18 vs ViT,0.2896,0.2869,0.2923,0,2.3503,True
stl10,16,VGG16 vs ViT,0.104,0.1011,0.1068,0,0.7974,True
stl10,24,ResNet18 vs VGG16,0.1998,0.1979,0.2017,0,2.3143,True
stl10,24,ResNet18 vs ViT,0.2204,0.2173,0.2235,0,1.557,True
stl10,24,VGG16 vs ViT,0.0206,0.0173,0.0238,0,0.1385,True
stl10,26,ResNet18 vs VGG16,0.1996,0.1977,0.2015,0,2.2998,True
stl10,26,ResNet18 vs ViT,0.2028,0.1997,0.2059,0,1.4402,True
stl10,26,VGG16 vs ViT,0.0032,-0.0001,0.0064,0.0558,0.0214,False
stl10,28,ResNet18 vs VGG16,0.1977,0.1958,0.1996,0,2.2961,True
stl10,28,ResNet18 vs ViT,0.1841,0.1811,0.1872,0,1.3307,True
stl10,28,VGG16 vs ViT,-0.0136,-0.0168,-0.0103,0,-0.0921,True
stl10,30,ResNet18 vs VGG16,0.1974,0.1955,0.1993,0,2.2987,True
stl10,30,ResNet18 vs ViT,0.1713,0.1684,0.1743,0,1.2722,True
stl10,30,VGG16 vs ViT,-0.0261,-0.0292,-0.0229,0,-0.1797,True
stl10,32,ResNet18 vs VGG16,0.1907,0.1889,0.1926,0,2.244,True
stl10,32,ResNet18 vs ViT,0.1613,0.1584,0.1642,0,1.2392,True
stl10,32,VGG16 vs ViT,-0.0294,-0.0325,-0.0263,0,-0.2086,True
stl10,40,ResNet18 vs VGG16,0.1705,0.1688,0.1722,0,2.1618,True
stl10,40,ResNet18 vs ViT,0.113,0.1106,0.1154,0,1.0411,True
stl10,40,VGG16 vs ViT,-0.0575,-0.0602,-0.0548,0,-0.4701,True
stl10,48,ResNet18 vs VGG16,0.1482,0.1466,0.1497,0,2.1001,True
stl10,48,ResNet18 vs ViT,0.0845,0.0825,0.0864,0,0.9454,True
stl10,48,VGG16 vs ViT,-0.0637,-0.066,-0.0614,0,-0.6129,True
stl10,56,ResNet18 vs VGG16,0.1229,0.1216,0.1242,0,2.0165,True
stl10,56,ResNet18 vs ViT,0.055,0.0536,0.0565,0,0.836,True
stl10,56,VGG16 vs ViT,-0.0679,-0.0697,-0.0661,0,-0.8303,True
stl10,64,ResNet18 vs VGG16,0.0928,0.0918,0.0939,0,1.9128,True
stl10,64,ResNet18 vs ViT,0.0423,0.0412,0.0434,0,0.8398,True
stl10,64,VGG16 vs ViT,-0.0505,-0.0519,-0.0492,0,-0.7973,True
stl10,80,ResNet18 vs VGG16,0.0493,0.0487,0.0499,0,1.7908,True
stl10,80,ResNet18 vs ViT,0.0183,0.0177,0.0188,0,0.7318,True
stl10,80,VGG16 vs ViT,-0.031,-0.0318,-0.0303,0,-0.9168,True

TABLE: TableS4_Retrieval_Accuracy - Sheet1
Dataset,Model,Resolution,N,Top1_Acc,Top1_CI_Lower,Top1_CI_Upper,Top5_Acc,Top5_CI_Lower,Top5_CI_Upper,Mean_Rank,Median_Rank
chestmnist,ResNet18,224,6188,1,0.9994,1,1,0.9994,1,0,0
chestmnist,ResNet18,192,6188,1,0.9994,1,1,0.9994,1,0,0
chestmnist,ResNet18,160,6188,1,0.9994,1,1,0.9994,1,0,0
chestmnist,ResNet18,128,6188,0.9953,0.9933,0.9967,0.9995,0.9986,0.9998,0.015,0
chestmnist,ResNet18,112,6188,0.9465,0.9406,0.9518,0.984,0.9806,0.9868,0.7505,0
chestmnist,ResNet18,96,6188,0.9158,0.9086,0.9225,0.9686,0.964,0.9727,1.6477,0
chestmnist,ResNet18,80,6188,0.7132,0.7018,0.7243,0.8584,0.8495,0.8669,12.5228,0
chestmnist,ResNet18,64,6188,0.4168,0.4045,0.4291,0.6007,0.5884,0.6128,61.6144,1
chestmnist,ResNet18,56,6188,0.2511,0.2405,0.2621,0.4009,0.3888,0.4132,149.3901,12
chestmnist,ResNet18,48,6188,0.1435,0.135,0.1525,0.2671,0.2563,0.2783,281.7652,46
chestmnist,ResNet18,40,6188,0.0583,0.0528,0.0645,0.1269,0.1188,0.1354,567.787,181
chestmnist,ResNet18,32,6188,0.0152,0.0124,0.0186,0.0451,0.0402,0.0505,1078.2148,595.5
chestmnist,ResNet18,30,6188,0.011,0.0087,0.0139,0.0331,0.029,0.0379,1283.525,776
chestmnist,ResNet18,28,6188,0.0086,0.0066,0.0112,0.026,0.0223,0.0303,1452.2004,975
chestmnist,ResNet18,26,6188,0.0058,0.0042,0.008,0.0197,0.0165,0.0235,1611.0953,1146
chestmnist,ResNet18,24,6188,0.0048,0.0034,0.0069,0.0168,0.0139,0.0203,1783.5343,1346
chestmnist,ResNet18,16,6188,0.0008,0.0003,0.0019,0.0058,0.0042,0.008,2330.0027,1986
chestmnist,ResNet18,12,6188,0.0006,0.0003,0.0017,0.0036,0.0023,0.0054,2577.8167,2340.5
chestmnist,ResNet18,8,6188,0.0003,0.0001,0.0012,0.0027,0.0017,0.0044,2778.5876,2649.5
chestmnist,VGG16,224,6188,1,0.9994,1,1,0.9994,1,0,0
chestmnist,VGG16,192,6188,0.9845,0.9811,0.9873,0.9984,0.997,0.9991,0.0328,0
chestmnist,VGG16,160,6188,0.9055,0.8979,0.9125,0.9751,0.9709,0.9787,0.706,0
chestmnist,VGG16,128,6188,0.6023,0.59,0.6144,0.8014,0.7913,0.8111,12.1044,0
chestmnist,VGG16,112,6188,0.3211,0.3096,0.3328,0.5499,0.5375,0.5623,53.3835,3
chestmnist,VGG16,96,6188,0.2603,0.2496,0.2714,0.4678,0.4554,0.4803,70.915,6
chestmnist,VGG16,80,6188,0.1178,0.11,0.1261,0.2707,0.2598,0.2819,179.4174,29
chestmnist,VGG16,64,6188,0.043,0.0382,0.0483,0.1157,0.108,0.1239,429.0887,123.5
chestmnist,VGG16,56,6188,0.0212,0.0179,0.0251,0.0604,0.0548,0.0667,720.6273,291.5
chestmnist,VGG16,48,6188,0.0118,0.0094,0.0148,0.0364,0.032,0.0413,1019.1343,508
chestmnist,VGG16,40,6188,0.0052,0.0037,0.0073,0.0191,0.0159,0.0228,1417.7271,888
chestmnist,VGG16,32,6188,0.0023,0.0013,0.0038,0.0097,0.0075,0.0125,1831.0945,1373
chestmnist,VGG16,30,6188,0.0011,0.0005,0.0023,0.0078,0.0059,0.0103,1984.7128,1588
chestmnist,VGG16,28,6188,0.0015,0.0008,0.0028,0.0065,0.0048,0.0088,2071.1338,1693.5
chestmnist,VGG16,26,6188,0.0013,0.0007,0.0025,0.0057,0.0041,0.0079,2196.8253,1850.5
chestmnist,VGG16,24,6188,0.001,0.0004,0.0021,0.0048,0.0034,0.0069,2284.5144,1955.5
chestmnist,VGG16,16,6188,0.0008,0.0003,0.0019,0.0032,0.0021,0.005,2544.564,2299.5
chestmnist,VGG16,12,6188,0.0005,0.0002,0.0014,0.0023,0.0013,0.0038,2623.4921,2403
chestmnist,VGG16,8,6188,0.0005,0.0002,0.0014,0.0019,0.0011,0.0034,2754.9518,2602
chestmnist,ViT,224,6188,1,0.9994,1,1,0.9994,1,0,0
chestmnist,ViT,192,6188,0.9997,0.9988,0.9999,1,0.9994,1,0.0005,0
chestmnist,ViT,160,6188,0.9966,0.9948,0.9978,0.9989,0.9977,0.9995,0.0225,0
chestmnist,ViT,128,6188,0.948,0.9421,0.9532,0.9822,0.9786,0.9852,1.0284,0
chestmnist,ViT,112,6188,0.7731,0.7625,0.7834,0.8925,0.8846,0.9,8.613,0
chestmnist,ViT,96,6188,0.7665,0.7558,0.7769,0.8887,0.8806,0.8963,9.3699,0
chestmnist,ViT,80,6188,0.5302,0.5178,0.5426,0.7195,0.7081,0.7305,33.4968,0
